ch06,Sexo_Varón,educ,estado_Ocupado,cobertura_medica_tiene,pobre,estado_civil_no_casado,jefe_ocupado,educ_jefe,jefe_mujer,ninos_hogar
55,0,3.0,0,1,1,1,0,8.0,0,1
21,0,12.0,0,1,1,1,0,8.0,0,1
13,1,9.0,0,1,1,1,0,8.0,0,1
19,1,13.0,1,1,1,1,1,13.0,0,0
19,0,13.0,0,1,1,1,1,13.0,0,0
66,1,8.0,0,1,1,1,0,8.0,0,1
1,1,0.0,0,1,0,1,1,13.0,0,1
36,0,16.0,1,1,1,1,1,16.0,1,1
39,1,13.0,1,1,0,1,1,13.0,0,1
38,0,13.0,1,1,0,1,1,13.0,0,1
60,1,8.0,1,1,1,1,1,8.0,0,2
10,0,5.0,0,0,1,1,1,8.0,0,2
26,0,13.0,1,0,1,1,1,8.0,0,2
6,1,1.0,0,1,1,1,1,8.0,0,2
29,1,11.0,1,1,1,0,1,11.0,0,2
30,0,13.0,0,1,1,0,1,11.0,0,2
4,1,0.0,0,1,1,1,1,11.0,0,2
19,1,13.0,1,1,0,1,1,14.0,1,1
22,1,13.0,1,1,0,1,1,13.0,0,0
59,0,13.0,0,0,1,1,0,13.0,1,0
7,1,3.0,0,1,0,1,1,16.0,1,2
49,0,8.0,0,1,1,1,0,8.0,1,0
51,1,5.0,1,0,1,1,0,8.0,1,0
26,0,13.0,1,1,1,1,0,8.0,1,0
22,0,15.0,0,1,1,1,0,8.0,1,0
36,0,16.0,1,1,0,1,1,16.0,1,1
27,1,13.0,1,1,0,1,1,13.0,0,0
54,1,8.0,1,1,0,1,1,8.0,0,0
19,0,13.0,1,1,0,1,1,8.0,0,0
21,1,13.0,1,1,0,1,1,8.0,0,0
30,0,16.0,1,1,0,0,1,16.0,1,2
35,1,15.0,1,1,0,0,1,16.0,1,2
10,0,5.0,0,1,0,1,1,16.0,1,2
69,0,8.0,0,1,0,1,0,8.0,1,1
29,0,13.0,1,0,0,1,0,8.0,1,1
32,1,13.0,1,1,1,1,1,13.0,0,0
33,0,10.0,0,0,1,1,1,13.0,0,0
87,0,8.0,0,1,0,1,0,8.0,1,0
39,0,13.0,1,0,0,1,1,13.0,1,0
23,0,15.0,1,0,0,1,1,13.0,1,0
58,0,11.0,0,0,1,0,1,8.0,0,0
63,1,8.0,1,0,1,0,1,8.0,0,0
41,0,10.0,0,0,1,1,1,11.0,0,2
17,0,9.0,0,0,1,1,1,11.0,0,2
12,1,7.0,0,0,1,1,1,11.0,0,2
3,0,0.0,0,0,1,1,1,11.0,0,2
41,0,8.0,0,0,1,1,0,8.0,1,0
47,1,7.0,0,0,1,1,0,8.0,1,0
18,1,12.0,0,1,1,1,0,8.0,1,0
46,0,19.0,1,1,0,1,1,19.0,1,2
49,1,16.0,1,1,0,1,1,19.0,1,2
13,0,8.0,0,1,0,1,1,19.0,1,2
11,1,8.0,0,1,0,1,1,19.0,1,2
64,1,8.0,0,1,0,0,0,8.0,0,0
54,0,8.0,1,1,0,0,0,8.0,0,0
37,1,10.0,1,1,0,1,0,8.0,0,0
18,0,13.0,1,0,0,1,0,8.0,0,0
15,0,12.0,0,1,0,1,1,13.0,1,0
56,1,19.0,1,1,0,0,1,19.0,0,0
55,0,15.0,1,1,0,0,1,19.0,0,0
39,0,16.0,1,1,0,0,1,16.0,1,1
42,1,16.0,1,1,0,0,1,16.0,1,1
4,1,0.0,0,1,0,1,1,16.0,1,1
37,0,13.0,1,1,0,1,1,13.0,1,0
21,1,15.0,0,1,0,1,0,13.0,0,0
64,1,13.0,0,1,0,0,0,13.0,0,0
52,0,13.0,0,1,0,0,0,13.0,0,0
71,1,8.0,0,1,0,0,0,8.0,0,0
64,0,8.0,0,1,0,0,0,8.0,0,0
52,0,16.0,1,1,0,1,1,16.0,1,0
44,1,10.0,1,1,0,1,1,10.0,0,1
22,0,13.0,1,0,0,1,1,10.0,0,1
6,1,0.0,0,0,0,1,1,10.0,0,1
9,0,4.0,0,1,1,1,1,11.0,0,2
42,1,13.0,1,1,0,0,1,13.0,0,0
44,0,16.0,1,1,0,0,1,13.0,0,0
16,1,13.0,0,1,0,1,1,13.0,0,0
20,0,14.0,0,1,0,1,1,13.0,0,0
42,1,13.0,1,0,0,1,1,13.0,0,0
52,0,13.0,0,1,1,1,0,13.0,1,0
51,1,8.0,0,1,1,1,0,13.0,1,0
55,0,18.0,0,1,0,1,0,18.0,1,0
60,1,9.0,0,1,0,1,0,18.0,1,0
9,1,4.0,0,1,0,1,1,16.0,1,1
41,1,9.0,1,1,0,1,1,16.0,1,1
1,1,0.0,0,1,0,1,0,8.0,1,1
61,1,8.0,0,1,0,1,0,8.0,0,0
46,0,8.0,0,0,0,1,0,8.0,0,0
26,1,13.0,1,1,0,1,1,13.0,0,0
41,0,16.0,1,1,0,1,1,16.0,1,1
5,1,0.0,0,1,0,1,1,16.0,1,1
61,1,8.0,1,1,0,1,1,8.0,0,0
41,1,15.0,0,0,1,1,0,15.0,0,0
62,0,8.0,1,1,1,1,0,15.0,0,0
65,1,13.0,0,1,0,1,0,13.0,0,0
28,1,10.0,1,0,0,1,0,3.0,0,1
1,1,0.0,0,1,0,1,0,3.0,0,1
44,0,13.0,0,0,0,0,0,13.0,1,0
51,1,13.0,1,0,0,0,0,13.0,1,0
17,1,13.0,0,0,0,1,0,13.0,1,0
33,1,13.0,1,0,0,1,1,13.0,0,3
34,0,13.0,0,0,0,1,1,13.0,0,3
13,0,9.0,0,1,0,1,1,13.0,0,3
8,0,3.0,0,1,0,1,1,13.0,0,3
4,1,0.0,0,1,0,1,1,13.0,0,3
43,1,9.0,1,0,0,1,1,9.0,0,0
69,1,3.0,0,1,0,1,0,3.0,0,1
26,0,13.0,1,0,0,1,0,3.0,0,1
17,0,12.0,0,1,0,1,1,8.0,1,1
16,0,11.0,0,1,0,1,1,8.0,1,1
8,1,4.0,0,1,0,1,1,8.0,1,1
17,0,11.0,0,1,0,1,0,8.0,0,0
58,0,16.0,0,1,0,0,0,16.0,1,0
60,1,13.0,1,1,0,0,0,16.0,1,0
40,0,8.0,1,1,0,1,1,8.0,1,1
48,0,19.0,1,1,0,1,1,19.0,1,0
16,1,9.0,0,0,1,1,1,14.0,1,1
9,0,4.0,0,0,1,1,1,14.0,1,1
39,0,19.0,1,1,0,1,1,19.0,1,0
29,1,13.0,1,0,0,1,1,13.0,0,1
6,1,1.0,0,0,0,1,1,13.0,0,1
27,0,13.0,1,1,0,1,1,13.0,1,0
41,0,14.0,1,0,1,1,1,14.0,1,1
40,1,13.0,1,1,0,0,1,13.0,0,1
38,0,19.0,1,1,0,1,1,19.0,1,0
33,1,13.0,1,1,0,1,1,13.0,0,1
32,0,13.0,0,1,0,1,1,13.0,0,1
10,0,6.0,0,1,0,1,1,13.0,0,1
42,0,9.0,0,1,0,0,1,13.0,0,1
17,0,13.0,0,1,0,1,1,13.0,0,1
13,1,10.0,0,1,0,1,1,13.0,0,1
71,1,12.0,1,1,0,1,1,12.0,0,0
67,0,8.0,0,1,0,0,0,8.0,1,0
70,1,9.0,0,1,0,0,0,8.0,1,0
46,0,8.0,0,0,1,1,1,8.0,0,0
16,0,10.0,0,0,1,1,1,8.0,0,0
15,0,9.0,0,0,1,1,1,8.0,0,0
60,1,8.0,1,1,0,0,1,8.0,0,0
57,0,15.0,1,1,0,0,1,8.0,0,0
44,1,8.0,1,0,1,1,1,8.0,0,0
17,0,13.0,0,1,0,1,1,13.0,0,1
3,1,0.0,0,1,0,1,1,13.0,0,1
43,0,15.0,1,1,0,1,1,15.0,1,1
14,1,10.0,0,1,0,1,1,15.0,1,1
53,1,11.0,1,1,0,0,1,11.0,0,0
49,0,10.0,0,1,0,0,1,11.0,0,0
60,1,10.0,1,1,0,1,1,10.0,0,0
42,1,16.0,1,1,0,1,1,16.0,0,0
44,1,16.0,1,1,0,1,1,16.0,0,0
42,1,13.0,1,1,0,1,1,13.0,0,1
42,0,16.0,0,1,0,1,1,13.0,0,1
12,1,9.0,0,1,0,1,1,13.0,0,2
10,0,5.0,0,1,0,1,1,13.0,0,2
32,1,13.0,1,1,0,1,1,13.0,0,2
26,0,13.0,1,1,0,1,1,13.0,0,2
66,0,17.0,0,1,0,0,0,17.0,1,0
68,1,19.0,0,1,0,0,0,17.0,1,0
12,0,9.0,0,1,0,1,0,8.0,0,2
9,1,4.0,0,1,0,1,0,8.0,0,2
28,1,16.0,1,1,0,1,1,16.0,0,0
28,0,13.0,1,1,0,1,1,16.0,0,0
50,0,15.0,1,1,1,1,1,15.0,1,0
18,1,14.0,0,1,1,1,1,15.0,1,0
81,1,8.0,0,1,0,1,0,8.0,0,2
38,0,19.0,1,1,0,1,0,8.0,0,2
16,1,11.0,0,1,0,1,0,8.0,0,2
28,0,13.0,1,1,0,1,1,11.0,0,0
37,1,13.0,1,1,0,1,1,11.0,0,0
54,0,0.0,0,1,0,1,0,0.0,1,0
77,1,8.0,0,1,0,1,0,0.0,1,0
49,1,13.0,1,1,0,0,1,13.0,0,1
24,0,11.0,1,1,0,1,1,13.0,0,1
26,1,13.0,1,1,0,1,1,13.0,0,1
6,1,2.0,0,1,0,1,1,13.0,0,1
84,0,8.0,0,1,0,1,0,8.0,1,0
32,1,9.0,1,0,0,1,1,9.0,0,0
67,1,8.0,1,1,0,0,1,8.0,0,0
60,0,8.0,0,1,0,0,1,8.0,0,0
40,1,13.0,1,1,0,1,1,13.0,0,2
38,0,19.0,1,1,0,1,1,13.0,0,2
11,1,6.0,0,1,0,1,1,13.0,0,2
10,0,4.0,0,1,0,1,1,13.0,0,2
31,0,19.0,1,1,0,1,1,16.0,0,0
62,0,13.0,1,1,0,1,1,13.0,1,0
66,1,8.0,0,1,0,0,0,8.0,0,0
67,0,8.0,0,1,0,0,0,8.0,0,0
35,1,16.0,1,1,0,1,1,16.0,0,0
35,1,16.0,1,1,0,1,1,16.0,0,0
21,1,12.0,0,1,0,1,1,19.0,1,0
57,0,19.0,1,1,0,1,1,19.0,1,0
17,1,12.0,0,1,0,1,1,8.0,0,1
24,0,12.0,0,1,0,1,1,8.0,0,1
6,0,1.0,0,1,0,1,1,8.0,0,1
35,0,16.0,1,1,0,1,1,16.0,0,0
80,0,8.0,0,1,0,1,0,8.0,1,0
45,1,8.0,1,1,0,0,1,8.0,0,1
46,0,13.0,0,1,0,0,1,8.0,0,1
25,1,13.0,1,1,0,0,1,8.0,0,1
38,0,13.0,0,1,0,0,1,13.0,0,0
54,1,13.0,1,1,0,0,1,13.0,0,0
50,1,10.0,0,1,1,1,0,10.0,0,0
70,0,8.0,0,1,1,1,0,10.0,0,0
44,0,13.0,1,1,0,1,1,13.0,0,0
48,1,11.0,1,1,0,0,1,11.0,0,1
43,0,15.0,1,1,0,0,1,11.0,0,1
19,1,13.0,0,1,0,1,1,11.0,0,1
11,1,8.0,0,1,0,1,1,11.0,0,1
68,0,8.0,0,1,0,1,0,8.0,1,0
48,1,13.0,1,1,0,1,1,13.0,0,0
67,0,13.0,0,1,0,1,0,13.0,1,0
58,1,15.0,1,1,0,0,1,15.0,0,0
54,0,13.0,1,1,0,0,1,15.0,0,0
58,0,13.0,1,1,0,1,1,13.0,1,0
38,1,13.0,1,1,0,1,1,13.0,0,0
34,1,15.0,1,1,0,1,1,15.0,0,0
59,0,19.0,1,1,0,0,1,19.0,1,0
70,1,16.0,0,1,0,0,1,19.0,1,0
23,0,16.0,0,1,0,1,1,19.0,1,0
31,0,19.0,1,1,0,1,1,19.0,1,0
30,0,17.0,1,1,0,1,1,19.0,1,0
65,1,8.0,0,1,0,1,0,8.0,1,0
67,0,11.0,0,1,0,0,0,8.0,0,0
25,0,15.0,0,1,0,1,0,8.0,0,0
75,1,8.0,0,1,0,0,0,8.0,0,0
19,0,13.0,0,1,0,1,1,15.0,0,0
17,1,13.0,0,1,0,1,1,15.0,0,0
59,1,23.0,1,1,0,0,1,23.0,0,0
58,0,23.0,1,1,0,0,1,23.0,0,0
29,1,13.0,1,1,0,1,1,13.0,0,0
32,0,15.0,0,0,0,1,1,13.0,0,0
59,1,13.0,1,1,0,1,1,13.0,0,0
71,0,16.0,0,1,0,1,0,16.0,1,0
12,0,7.0,0,0,1,1,0,0.0,0,1
59,1,9.0,1,0,1,1,1,9.0,0,0
79,0,4.0,0,1,0,1,0,4.0,1,0
47,1,13.0,1,0,0,0,1,13.0,0,1
37,0,16.0,1,1,0,0,1,13.0,0,1
19,1,14.0,0,0,0,1,1,13.0,0,1
17,0,12.0,0,1,0,1,1,13.0,0,1
8,1,3.0,0,1,0,1,1,13.0,0,1
76,1,0.0,0,1,1,1,0,0.0,0,1
68,0,0.0,0,0,1,1,0,0.0,0,1
50,0,13.0,1,1,0,1,1,13.0,1,0
46,0,11.0,1,1,0,0,1,11.0,1,1
52,1,16.0,1,1,0,0,1,11.0,1,1
21,0,16.0,1,1,0,1,1,11.0,1,1
13,1,9.0,0,1,0,1,1,11.0,1,1
65,1,16.0,0,1,0,1,0,16.0,0,0
59,0,16.0,0,1,0,1,0,16.0,0,0
75,1,11.0,0,1,0,0,0,11.0,0,0
75,0,8.0,0,1,0,0,0,11.0,0,0
61,1,16.0,0,1,0,0,0,16.0,0,0
60,0,13.0,0,1,0,0,0,16.0,0,0
30,1,19.0,1,1,0,1,0,16.0,0,0
50,0,19.0,1,1,0,1,1,19.0,1,0
52,1,14.0,1,1,0,1,1,19.0,1,0
26,0,17.0,1,1,0,1,1,19.0,1,0
33,1,17.0,0,1,0,1,0,17.0,0,0
42,0,16.0,0,1,0,1,0,17.0,0,0
68,0,15.0,0,1,0,1,0,17.0,0,0
53,0,13.0,1,1,0,1,1,13.0,1,0
66,1,13.0,1,1,0,1,1,13.0,1,0
63,1,13.0,1,1,0,1,0,16.0,1,0
66,1,10.0,0,0,0,1,0,10.0,0,0
71,1,16.0,0,1,0,1,0,16.0,0,0
6,1,2.0,0,0,0,1,1,8.0,0,2
2,1,0.0,0,0,0,1,1,8.0,0,2
31,1,9.0,1,1,0,0,1,9.0,0,1
26,0,15.0,0,1,0,0,1,9.0,0,1
53,1,8.0,0,1,1,0,0,8.0,0,1
37,0,13.0,0,1,1,0,0,8.0,0,1
15,0,10.0,0,1,1,1,0,8.0,0,1
11,1,8.0,0,1,1,1,0,8.0,0,1
29,1,8.0,1,0,0,1,1,8.0,0,2
24,0,13.0,1,0,0,1,1,8.0,0,2
45,0,10.0,1,0,1,1,1,10.0,1,1
21,0,14.0,0,0,1,1,1,10.0,1,1
12,1,9.0,0,0,1,1,1,10.0,1,1
39,1,13.0,1,1,0,1,1,13.0,0,0
68,0,7.0,0,1,0,1,0,7.0,1,0
72,1,4.0,0,1,0,1,0,7.0,1,0
19,1,13.0,0,0,0,1,0,7.0,1,0
40,1,13.0,1,1,0,1,1,13.0,0,0
84,0,19.0,0,1,0,0,0,19.0,1,0
82,1,19.0,0,1,0,0,0,19.0,1,0
41,1,16.0,0,1,0,1,0,19.0,1,0
4,1,0.0,0,1,0,1,1,9.0,0,1
62,0,13.0,0,1,0,1,0,13.0,1,0
54,1,4.0,1,1,0,1,0,13.0,1,0
41,1,13.0,1,1,0,1,1,13.0,0,2
38,0,13.0,1,1,0,1,1,13.0,0,2
13,0,9.0,0,1,0,1,1,13.0,0,2
7,0,2.0,0,1,0,1,1,13.0,0,2
62,1,10.0,0,1,0,0,0,10.0,0,0
56,0,16.0,1,1,0,0,0,10.0,0,0
31,0,17.0,0,1,0,1,0,10.0,0,0
27,1,13.0,1,1,0,1,1,13.0,0,0
45,1,10.0,1,1,1,1,1,10.0,0,0
63,1,7.0,0,1,0,0,0,7.0,0,0
60,0,7.0,0,1,0,0,0,7.0,0,0
21,1,13.0,1,1,0,1,1,13.0,0,0
47,0,11.0,1,1,0,1,1,11.0,1,1
49,1,8.0,1,1,0,1,1,11.0,1,1
72,1,8.0,0,1,0,1,0,8.0,0,1
71,0,8.0,0,1,0,1,0,8.0,0,1
34,0,13.0,1,1,0,1,0,8.0,0,1
9,1,4.0,0,1,0,1,0,8.0,0,1
36,0,13.0,0,1,1,1,0,13.0,1,2
11,1,6.0,0,1,1,1,0,13.0,1,2
9,0,4.0,0,1,1,1,0,13.0,1,2
58,0,8.0,1,1,1,1,1,8.0,1,0
34,1,13.0,1,1,0,1,1,13.0,0,1
40,0,13.0,0,1,0,1,1,13.0,0,1
11,1,6.0,0,1,0,1,1,13.0,0,1
29,0,19.0,1,1,0,1,1,19.0,1,0
63,0,13.0,0,1,0,1,1,19.0,1,0
82,0,6.0,0,1,0,1,0,6.0,1,0
65,1,13.0,0,1,1,0,0,13.0,0,0
51,0,11.0,0,1,1,0,0,13.0,0,0
61,0,13.0,0,1,0,0,0,19.0,0,0
63,1,19.0,0,1,0,0,0,19.0,0,0
63,1,10.0,0,1,0,0,0,10.0,0,0
59,0,11.0,0,1,0,0,0,10.0,0,0
21,0,15.0,1,1,0,1,1,11.0,1,1
27,0,10.0,0,1,0,1,1,11.0,1,1
7,0,2.0,0,1,0,1,1,11.0,1,1
69,0,13.0,0,1,0,1,0,13.0,1,0
66,0,8.0,0,1,0,1,0,8.0,1,1
63,0,13.0,0,1,0,1,0,13.0,1,0
82,0,5.0,0,1,0,1,0,5.0,1,0
57,1,16.0,1,1,0,1,1,16.0,0,0
37,1,13.0,1,0,0,1,1,16.0,0,0
45,1,8.0,1,0,0,1,1,8.0,0,1
32,0,16.0,1,1,0,1,1,8.0,0,1
22,0,16.0,0,1,1,1,0,13.0,0,0
18,0,13.0,0,1,1,1,0,13.0,0,0
49,0,13.0,1,1,0,1,1,13.0,1,0
22,0,13.0,1,1,0,1,1,13.0,1,0
19,1,14.0,0,1,0,1,1,13.0,1,0
38,1,13.0,1,1,0,1,1,13.0,0,0
76,0,13.0,0,1,0,1,0,13.0,1,0
26,0,13.0,0,0,0,1,1,8.0,0,0
74,1,8.0,0,1,0,0,0,8.0,0,0
69,0,8.0,0,1,0,0,0,8.0,0,0
55,1,19.0,1,1,0,1,1,19.0,0,0
77,1,8.0,1,1,0,0,1,8.0,0,0
64,0,9.0,0,1,0,0,1,8.0,0,0
56,0,17.0,0,1,0,1,0,17.0,1,0
21,1,15.0,0,1,0,1,0,17.0,1,0
34,0,8.0,1,0,0,1,0,8.0,1,1
8,1,4.0,0,1,0,1,0,8.0,1,1
27,0,13.0,1,1,0,1,1,13.0,1,0
49,1,16.0,1,1,0,0,1,16.0,0,0
52,0,13.0,1,1,0,0,1,16.0,0,0
23,0,15.0,0,1,0,1,1,16.0,0,0
20,1,14.0,0,1,0,1,1,16.0,0,0
39,1,19.0,1,1,0,1,1,19.0,0,0
38,0,13.0,1,0,0,1,1,19.0,0,0
19,1,13.0,1,1,0,1,1,13.0,0,0
78,0,10.0,0,1,0,1,0,10.0,1,0
29,1,13.0,0,0,0,1,0,10.0,1,0
18,0,8.0,0,0,1,1,0,7.0,1,1
14,0,8.0,0,0,1,1,0,7.0,1,1
18,0,11.0,0,0,1,1,0,7.0,1,1
40,0,13.0,1,1,0,1,1,13.0,1,0
64,1,14.0,0,1,0,1,0,14.0,0,0
3,0,0.0,0,1,0,1,1,8.0,0,1
22,1,13.0,1,1,0,1,1,13.0,0,0
27,1,13.0,1,1,0,1,1,13.0,0,0
56,1,8.0,1,0,0,0,1,8.0,0,0
54,0,7.0,0,0,1,1,0,7.0,1,1
24,1,11.0,1,0,1,1,0,7.0,1,1
20,0,14.0,0,1,1,1,0,14.0,1,0
49,1,16.0,1,1,0,1,1,16.0,0,0
50,0,10.0,0,1,0,1,1,16.0,0,0
65,1,8.0,0,1,0,1,0,8.0,0,0
60,1,15.0,1,1,0,1,1,15.0,0,0
51,0,8.0,1,0,0,1,0,6.0,0,0
49,0,8.0,0,0,0,1,0,6.0,0,0
82,1,6.0,0,1,0,0,0,6.0,0,0
44,1,14.0,1,0,1,1,1,14.0,0,0
43,0,15.0,1,0,1,1,1,14.0,0,0
21,1,14.0,0,0,1,1,1,14.0,0,0
17,1,13.0,0,0,1,1,1,14.0,0,0
15,0,11.0,0,0,1,1,1,14.0,0,0
24,0,11.0,0,1,0,1,0,11.0,1,2
28,1,13.0,1,1,0,1,0,11.0,1,2
4,1,0.0,0,1,0,1,0,11.0,1,2
2,0,0.0,0,1,0,1,0,11.0,1,2
52,0,19.0,1,1,0,1,1,19.0,1,0
51,1,19.0,1,1,0,1,1,19.0,1,0
25,1,13.0,1,1,0,1,1,16.0,0,0
19,0,15.0,0,1,0,1,1,16.0,0,0
22,1,11.0,0,0,1,1,0,11.0,0,2
15,1,0.0,0,0,1,1,0,11.0,0,2
11,1,6.0,0,0,1,1,0,11.0,0,2
14,0,9.0,0,0,1,1,0,11.0,0,2
42,0,13.0,0,0,1,1,0,11.0,0,2
38,0,14.0,1,1,0,1,1,14.0,1,1
46,1,13.0,0,1,0,1,1,14.0,1,1
6,1,1.0,0,1,0,1,1,14.0,1,1
17,1,11.0,0,1,0,1,1,14.0,1,1
20,1,13.0,1,1,0,1,1,14.0,1,1
74,0,7.0,0,1,0,0,0,6.0,0,0
8,1,1.0,0,1,1,1,0,12.0,1,2
43,1,11.0,1,0,1,1,1,11.0,0,2
48,0,23.0,1,1,0,1,1,23.0,1,1
40,1,13.0,1,1,0,1,1,23.0,1,1
16,1,11.0,0,1,0,1,1,23.0,1,1
9,1,5.0,0,1,0,1,1,23.0,1,1
36,0,12.0,0,0,1,1,0,12.0,1,2
40,1,16.0,1,1,1,1,0,12.0,1,2
17,1,12.0,0,1,1,1,0,12.0,1,2
14,0,10.0,0,1,1,1,0,12.0,1,2
45,1,9.0,0,0,0,1,0,3.0,0,0
29,0,13.0,1,1,0,1,1,13.0,1,2
7,1,2.0,0,1,0,1,1,13.0,1,2
23,1,13.0,1,1,0,1,1,13.0,0,1
26,0,16.0,1,1,0,1,1,13.0,0,1
4,0,0.0,0,1,0,1,1,13.0,0,1
53,0,19.0,1,1,0,1,1,19.0,1,0
61,1,19.0,1,1,0,0,1,19.0,0,3
42,0,13.0,0,1,0,0,1,19.0,0,3
14,0,10.0,0,1,0,1,1,19.0,0,3
9,1,4.0,0,1,0,1,1,19.0,0,3
3,0,0.0,0,1,0,1,1,19.0,0,3
75,1,19.0,0,1,0,0,0,19.0,0,0
70,0,8.0,0,1,0,1,0,8.0,1,0
30,1,13.0,1,1,0,1,1,13.0,0,0
48,1,13.0,1,1,0,1,1,13.0,0,1
16,1,9.0,0,1,0,1,1,13.0,0,1
15,1,11.0,0,1,0,1,1,13.0,0,1
11,0,6.0,0,1,0,1,1,13.0,0,1
59,0,17.0,1,1,0,1,1,17.0,1,0
13,1,9.0,0,1,0,1,1,13.0,1,2
32,0,13.0,1,0,0,1,1,13.0,1,2
48,0,8.0,1,1,0,1,1,8.0,1,2
25,0,13.0,1,0,0,1,1,8.0,1,2
10,1,5.0,0,1,0,1,1,8.0,1,2
8,0,4.0,0,1,0,1,1,8.0,1,2
22,0,16.0,1,1,0,1,0,19.0,1,0
26,0,17.0,1,1,0,1,0,19.0,1,0
75,0,12.0,0,1,0,0,0,19.0,0,0
46,0,16.0,1,1,0,1,0,19.0,0,0
68,0,4.0,1,1,1,1,1,4.0,1,0
72,1,14.0,0,1,0,0,0,14.0,0,0
73,0,14.0,0,1,0,0,0,14.0,0,0
55,0,19.0,0,1,0,1,0,19.0,1,0
22,1,17.0,1,1,0,1,0,19.0,1,0
59,0,8.0,0,1,0,1,0,8.0,1,0
55,1,19.0,1,1,0,1,0,8.0,1,0
82,0,8.0,0,1,0,1,0,8.0,1,0
49,1,16.0,1,1,0,1,1,16.0,0,0
79,0,8.0,0,1,0,0,0,8.0,1,0
81,1,5.0,0,1,0,0,0,8.0,1,0
45,0,13.0,1,1,1,1,1,13.0,1,0
25,1,0.0,0,1,1,1,1,13.0,1,0
46,0,16.0,1,1,0,1,1,16.0,1,1
11,0,6.0,0,1,0,1,1,16.0,1,1
41,1,13.0,1,1,1,0,1,13.0,0,1
35,0,13.0,0,1,1,0,1,13.0,0,1
15,1,10.0,0,1,1,1,1,13.0,0,1
9,0,2.0,0,1,1,1,1,13.0,0,1
55,1,13.0,1,0,0,1,1,13.0,0,0
36,1,15.0,1,1,0,1,1,15.0,0,0
46,1,13.0,1,1,0,1,1,13.0,0,0
65,1,13.0,0,1,0,1,0,13.0,0,0
62,1,13.0,1,1,1,1,1,13.0,0,0
19,1,13.0,0,1,1,1,1,13.0,0,0
19,1,13.0,0,1,1,1,1,13.0,0,0
34,0,13.0,1,1,0,1,1,13.0,1,1
5,1,0.0,0,1,0,1,1,13.0,1,1
53,1,13.0,1,1,1,1,1,13.0,0,0
53,0,13.0,0,1,1,1,1,13.0,0,0
30,1,15.0,0,1,1,1,1,13.0,0,0
22,0,13.0,1,1,1,1,1,13.0,0,0
18,0,13.0,0,1,1,1,1,13.0,0,0
32,0,16.0,1,1,0,1,1,16.0,1,0
36,1,13.0,1,1,0,1,1,13.0,0,1
35,1,13.0,1,1,0,1,1,13.0,0,0
20,0,13.0,0,1,1,1,1,13.0,1,0
19,0,13.0,0,1,1,1,1,13.0,1,0
67,1,8.0,1,1,0,1,1,8.0,0,0
65,0,8.0,0,1,0,1,1,8.0,0,0
30,1,13.0,1,1,0,1,1,8.0,0,0
12,1,8.0,0,1,0,1,1,13.0,0,2
29,0,13.0,0,1,1,1,0,13.0,1,2
33,1,13.0,1,1,1,1,0,13.0,1,2
11,0,6.0,0,1,1,1,0,13.0,1,2
9,1,4.0,0,1,1,1,0,13.0,1,2
47,0,19.0,1,1,0,1,1,19.0,1,0
19,0,14.0,1,1,0,1,1,19.0,1,0
16,0,12.0,0,1,0,1,1,19.0,1,0
44,1,13.0,1,1,0,0,1,13.0,0,2
39,0,19.0,1,1,0,0,1,13.0,0,2
18,1,13.0,0,1,0,1,1,13.0,0,2
14,1,12.0,0,1,0,1,1,13.0,0,2
32,1,8.0,1,1,1,1,1,8.0,0,1
27,0,15.0,0,1,1,1,1,8.0,0,1
5,0,0.0,0,1,1,1,1,8.0,0,1
64,1,13.0,1,1,0,0,1,13.0,0,0
50,1,16.0,1,1,0,0,0,13.0,1,0
23,0,15.0,0,1,0,1,0,13.0,1,0
16,1,12.0,0,1,0,1,0,13.0,1,0
55,0,3.0,1,1,0,0,1,3.0,1,1
14,0,10.0,0,1,0,1,1,3.0,1,1
45,0,13.0,0,1,0,0,0,13.0,1,0
83,0,3.0,0,1,0,1,0,13.0,0,0
67,1,8.0,0,1,1,0,0,8.0,0,0
59,0,4.0,0,0,1,0,0,8.0,0,0
34,0,4.0,0,1,1,1,0,8.0,0,0
47,1,13.0,0,0,0,1,0,13.0,0,0
62,0,13.0,0,1,0,1,0,13.0,0,0
31,0,16.0,1,1,1,1,1,16.0,1,1
8,0,3.0,0,1,1,1,1,16.0,1,1
16,1,10.0,0,1,1,1,1,16.0,1,1
37,0,16.0,1,1,0,1,1,16.0,1,0
53,1,9.0,1,1,0,1,1,9.0,0,0
46,0,19.0,0,1,0,1,1,9.0,0,0
23,0,15.0,0,1,0,1,1,9.0,0,0
39,1,17.0,1,1,0,1,1,16.0,1,2
8,1,3.0,0,1,0,1,1,16.0,1,2
36,0,16.0,1,1,0,1,1,16.0,1,2
1,0,0.0,0,1,0,1,1,8.0,1,3
37,0,13.0,1,1,0,1,1,13.0,0,1
4,1,0.0,0,1,0,1,1,13.0,0,1
52,0,8.0,1,1,0,1,1,8.0,1,3
26,0,8.0,1,1,0,1,1,8.0,1,3
29,0,16.0,1,1,0,1,1,8.0,1,3
10,0,5.0,0,0,0,1,1,8.0,1,3
5,1,0.0,0,0,0,1,1,8.0,1,3
26,0,13.0,1,1,0,1,1,13.0,1,1
9,0,5.0,0,1,0,1,1,13.0,1,1
71,1,8.0,0,1,0,0,0,8.0,0,0
63,0,8.0,0,1,0,0,0,8.0,0,0
